"LATITUDE","LONGITUDE"
-45.9015935,170.4989936
-33.137551,81.826172
19.7667036,-155.5883789
19.918508,-155.8824431
20.4799086,-104.7848977
20.7531588,-105.3845664
20.9387803,-156.691492
21.2826612,-157.8096453
21.3170626,-157.8125739
21.3812379,-157.7337089
21.3976777,-157.7401989
21.4228543,-157.9493183
22.2224095,-159.495821
24.7294865,-81.0481596
24.923398,-80.6266472
25.0320425,-80.5036658
25.1225184,-80.4117108
25.1340181,-80.4102827
25.5008478,-80.4259729
25.6120229,-80.324071
25.6273557,-80.3180516
25.6336132,-80.3469627
25.636806,-80.328711
25.6533066,-80.3526326
25.65998,-80.36122
25.660417,-80.390969
25.6639397,-80.2963473
25.67887,-80.286426
25.7051125,-80.2750549
25.713726,-80.257506
25.7621935,-80.3129541
25.888866,-80.154375
25.9016819,-80.2073288
25.9260197,-97.5125732
25.937388,-97.51635
25.9449413,-80.1531286
25.9689022,-80.1545677
25.996439,-80.273646
26.0421317,-80.3967476
26.0587298,-80.2968715
26.0604865,-97.6179665
26.0860413,-80.2759168
26.0898056,-80.3410338
26.1119237,-80.4215246
26.1181782,-80.2247681
26.119858,-80.42441
26.1229218,-97.9542732
26.128888,-80.304865
26.136004,-97.673351
26.166204,-80.289475
26.1703831,-98.2533073
26.1753516,-98.229661
26.175908,-98.229786
26.1778084,-97.7665009
26.1825962,-80.1453629
26.1833623,-98.377043
26.1841416,-98.3772469
26.1928863,-97.6775454
26.1967049,-81.6537247
26.201699,-80.19525
26.206852,-97.6873398
26.214758,-81.710122
26.234041,-80.250058
26.239619,-80.1185811
26.2406535,-98.229146
26.2408898,-98.2196894
26.2626899,-80.1212017
26.2663253,-80.1959735
26.2784231,-81.760608
26.3119009,-80.2501541
26.330149,-81.6995591
26.3459819,-80.1067007
26.3484,-80.11592
26.3534016,-80.0713943
26.3634864,-80.1782227
26.3881407,-80.1429892
26.3914636,-81.819779
26.433406,-81.913898
26.438272,-81.7976769
26.4871676,-98.8228798
26.556639,-81.987618
26.5655371,-80.0926924
26.581459,-81.9447409
26.5868386,-99.1373634
26.5921129,-81.6423681
26.6111288,-81.8910196
26.6227719,-81.9686467
26.6284053,-81.8816107
